編號,位置,元素類型,現有文案,修改建議,備註
AB-04,About 頁 / 章節 01,內文,"這裡整理的是願意公開標註為「禁羈友善」的專業助人者名單。我們致力於讓需要心理支持的 BDSMer，能更容易找到理解、多元友善、值得信任的專業工作者。

目前國內幾乎沒有相關資源，因此這是一項初步行動。透過助人者願意現身、清楚表示自身的友善立場，我們期望讓更多人看見這個議題，也讓需要的人不再孤單摸索。",,
AB-05,About 頁 / 章節 02,標題,如何使用這份名單,,
AB-06,About 頁 / 章節 02,內文,"點選導覽列的「助人者名單」，內容包含助人者的姓名、執業地點、聯繫方式與簡短介紹。你可以依照個人的需求直接聯繫助人者，若你願意，也能在聯繫時說明是透過本資源網得知資訊。

若想確定彼此是否合適，建議可再查看助人者的公開資料、評價或先安排一次初談，感受是否契合。",,
AB-07,About 頁 / 章節 03,標題,助人者的審查方式,,
AB-08,About 頁 / 章節 03,內文,"為了讓名單能持續且穩定地更新，我們採取形式審查。我們會確認申請者的姓名、工作資料與聯繫方式，確實為現行執業的專業助人者。我們不會進行任何 BDSM 相關能力或專業熟悉度的實質審查。

因此，名單中的每一位助人者代表的是「公開標註為禁羈友善」的立場，而非專業能力的背書。若你需要進一步確認其適合度，仍建議以其他管道自行查證。",,
AB-09,About 頁 / 章節 04,標題,免責聲明,,
AB-10,About 頁 / 章節 04,內文,"本名單僅作為資訊整理與公開使用，不參與也不介入任何諮商契約、安排或後續互動。助人者的專業表現、工作風格與服務品質皆由個別助人者自行負責。使用者與助人者之間的選擇、互動及其後果，需自行斟酌與承擔。

若雙方產生爭議，本資源網無參與調解或處理之責任，建議使用者回到助人者所屬機構或公會反映。我們能提供方向，但如何走向支持，是屬於你的選擇。",,
AB-11,About 頁 / 章節 05,標題,修改或撤除名單資訊,,
AB-12,About 頁 / 章節 05,內文,若助人者希望更新資料或退出名單，可寄信至：bdsmertherapist@gmail.com,,
AB-13,About 頁 / 章節 06,標題,版權與使用條款,,
AB-14,About 頁 / 章節 06,內文,"本資源網所收錄之助人者名單、文字內容、設計與網站程式碼，皆受著作權法保護。本資源網僅供個人查閱與非商業用途使用。

任何形式之轉載、再次發佈、改作、整合或商業使用，請於使用前以電子郵件聯絡 bdsmertherapist@gmail.com 並取得書面同意。

名單中之助人者個資，已取得當事人「公開列入本資源網」之同意；此同意僅限於本資源網之展示與查閱，不得視為授權第三方轉用其資料。",,
AB-15,About 頁,結語,"願這份名單，能成為某一個夜裡一道微光。",,
CT-01,Contribute 頁,eyebrow,if you're called to it.,,
CT-02,Contribute 頁,主標題,助人者募集中,,
CT-03,Contribute 頁,內文,"如果你願意以開放、不評價的態度陪伴 BDSMer，也願意在自己的執業身分下公開標註「禁羈友善」，歡迎加入這份名單。

我們期待與你一起，讓需要支持的人更容易找到安全、可信賴的助人者。",,
CT-04,Contribute 頁,表單區塊標題,招募表單,,
CT-05,Contribute 頁,開啟原始表單連結,在新分頁開啟 ↗,,
CT-06,Contribute 頁,iframe 載入中文字,載入中…,,
CT-07,Contribute 頁,備註,※ 若表單無法正常顯示，可直接前往原始表單填寫。,,
NF-01,404 頁,大字裝飾,404,,
NF-02,404 頁,主標題,迷路了,,
NF-03,404 頁,內文,這個頁面好像不存在。沒關係，我們陪你回到起點。,,
NF-04,404 頁,連結,回到首頁 →,,
OG-01,OG 縮圖,wordmark,therapis,,
OG-02,OG 縮圖,eyebrow,"for those seeking a safe, knowing ear.",,
OG-03,OG 縮圖,主標,禁羈友善,,
OG-04,OG 縮圖,副標,助人工作者資源網,,
OG-05,OG 縮圖,底部 URL,therapis.smer.today,,
OG-06,OG 縮圖,底部簽名,made with love · 2026,,
